tid,date,type,price,amount
18373100,1735267167,buy,598561.46452547,0.00017245
18373101,1735267172,buy,598561.46452532,0.00017409
18373102,1735267180,buy,598561.46452504,0.00019709
18373103,1735267216,buy,598541.84193809,0.00013753
18373104,1735267221,sell,598054.76622880,0.00016772
18373105,1735267239,buy,598490.20345998,0.00003241
18373106,1735267246,buy,598457.22874421,0.00018069
18373107,1735267271,sell,597903.09688511,0.00016615
18373108,1735267308,buy,598249.06908273,0.00017593
18373109,1735267312,buy,598249.06908272,0.00012448
18373110,1735267359,buy,597903.10000001,0.00000162
18373111,1735267365,sell,597903.10000000,0.02989588
18373112,1735267365,sell,597849.42000000,0.00045518
18373113,1735267375,buy,597903.10000001,0.00165595
18373114,1735267384,buy,597903.10000001,0.00017757
18373115,1735267389,buy,597903.10000001,0.00018397
18373116,1735267396,sell,597849.42000000,0.00010497
18373117,1735267396,sell,597421.00000000,0.00115293
18373118,1735267396,sell,597074.33311718,0.00623212
18373119,1735267406,buy,597419.56407997,0.00007713
18373120,1735267411,buy,597347.83968061,0.00017609
18373121,1735267426,buy,597347.83968026,0.00018103
18373122,1735267439,buy,597491.32769282,0.00016603
18373123,1735267445,buy,597491.32769263,0.00007793
18373124,1735267460,sell,596571.00045006,0.00027527
18373125,1735267495,sell,596571.00075010,0.00017107
18373126,1735267508,buy,597413.75680594,0.00017743
18373127,1735267519,sell,597084.28008280,0.00016965
18373128,1735267523,sell,597084.28008292,0.00017619
18373129,1735267540,buy,597514.63230093,0.00017275
18373130,1735267545,buy,597475.26419519,0.00014140
18373131,1735267592,sell,596995.39533364,0.00000504
18373132,1735267604,sell,596895.39693483,0.00018269
18373133,1735267607,sell,596895.39693491,0.00004975
18373134,1735267675,sell,596611.02351506,0.00032336
18373135,1735267679,buy,596945.79537694,0.00004712
18373136,1735267712,buy,596502.22203245,0.00000162
18373137,1735267725,sell,596000.00000000,0.00000222
18373138,1735267725,sell,595831.62365498,0.00000775
18373139,1735267734,sell,595831.62365522,0.00020561
18373140,1735267763,buy,595457.00000001,0.00016510
18373141,1735267767,buy,595457.00000001,0.00000992
18373142,1735267769,buy,595457.00000001,0.00017801
18373143,1735267780,buy,595481.55619931,0.00025189
18373144,1735267781,sell,595457.00000000,0.00016643
18373145,1735267789,sell,595457.00000000,0.00464998
18373146,1735267798,buy,595480.11685585,0.00024764
18373147,1735267805,sell,595457.00000000,0.00017677
18373148,1735267861,sell,595457.00000001,0.00004416
18373149,1735267873,buy,595823.23469054,0.00008391
18373150,1735267880,sell,595457.00000000,0.00004800
18373151,1735267904,sell,595457.00000000,0.00179000
18373152,1735267918,sell,595457.00000000,0.00156637
18373153,1735267918,sell,595457.00000000,0.00146472
18373154,1735267942,sell,595160.46000000,0.00000261
18373155,1735267942,sell,595000.00000006,0.00004493
18373156,1735267944,sell,595000.00000013,0.00013383
18373157,1735267951,buy,595543.88077658,0.00017798
18373158,1735267966,buy,595536.15282958,0.00000162
18373159,1735267970,buy,595536.15282945,0.00000641
18373160,1735267985,sell,595149.70751577,0.00004657
18373161,1735267996,sell,595665.03066123,0.01710000
18373162,1735267999,buy,595739.33250437,0.01040630
18373163,1735267999,buy,596051.91542790,0.00630000
18373164,1735267999,buy,596051.91542791,0.00039368
18373165,1735268002,buy,596051.91542791,0.00016659
18373166,1735268027,buy,596051.91537791,0.00001627
18373167,1735268036,sell,595640.31777858,0.00016950
18373168,1735268088,sell,595959.40130531,0.01700000
18373169,1735268088,sell,595959.40130530,0.01710000
18373170,1735268088,sell,595832.62105617,0.00538411
18373171,1735268090,sell,595832.62105618,0.00017597
18373172,1735268101,buy,596051.91537791,0.00017648
18373173,1735268168,sell,596051.91000002,0.00017003
18373174,1735268181,buy,596413.02823621,0.00008132
18373175,1735268189,sell,596051.91000023,0.00000388
18373176,1735268218,sell,596051.91000000,0.00006623
18373177,1735268219,sell,596142.00261086,0.00004754
18373178,1735268247,buy,596590.93159659,0.00002443
18373179,1735268305,buy,596577.94850973,0.00008130
18373180,1735268316,sell,596051.91025010,0.00023074
18373181,1735268352,sell,596051.91025051,0.00016211
18373182,1735268395,buy,596860.53498954,0.00000672
18373183,1735268409,buy,596860.53498913,0.00017750
18373184,1735268457,buy,596660.05120756,0.00005922
18373185,1735268466,sell,596398.57907354,0.00001715
18373186,1735268496,buy,596603.84242603,0.00058547
18373187,1735268504,buy,596452.61951151,0.00564564
18373188,1735268507,buy,596452.61946150,0.00003664
18373189,1735268576,buy,597009.04825940,0.00000740
18373190,1735268587,buy,597009.04825924,0.00002011
18373191,1735268594,buy,597164.63770535,0.00000162
18373192,1735268596,buy,597107.99611406,0.00006698
18373193,1735268613,buy,597200.14620430,0.00017749
18373194,1735268633,buy,597107.98999999,0.00004873
18373195,1735268665,sell,596662.11817918,0.00017625
18373196,1735268693,sell,596662.12005002,0.00014477
18373197,1735268723,buy,597107.97000000,0.00000222
18373198,1735268723,buy,597107.98000000,0.00000222
18373199,1735268723,buy,597107.99000000,0.00000222
18373200,1735268723,buy,597200.14000000,0.00000222
18373201,1735268723,buy,597343.79772868,0.00007232
